sensor_id;sensor_type;location;lat;lon;timestamp;value_type;value
4858;DHT22;3630;6.540;3.297;2023-12-08T05:41:58.656132+00:00;temperature;27.50
4857;pms5003;3630;6.540;3.297;2023-12-08T05:42:49.498484+00:00;P2;79.67
4857;pms5003;3630;6.540;3.297;2023-12-08T05:42:49.498484+00:00;P1;84.67
4857;pms5003;3630;6.540;3.297;2023-12-08T05:42:49.498484+00:00;P0;53.33
4858;DHT22;3630;6.540;3.297;2023-12-08T05:43:02.694978+00:00;humidity;97.20
4858;DHT22;3630;6.540;3.297;2023-12-08T05:43:02.694978+00:00;temperature;27.60
4857;pms5003;3630;6.540;3.297;2023-12-08T05:43:53.571397+00:00;P2;74.50
4857;pms5003;3630;6.540;3.297;2023-12-08T05:43:53.571397+00:00;P1;79.50
4857;pms5003;3630;6.540;3.297;2023-12-08T05:43:53.571397+00:00;P0;52.25
4858;DHT22;3630;6.540;3.297;2023-12-08T05:44:06.758341+00:00;humidity;96.80
4858;DHT22;3630;6.540;3.297;2023-12-08T05:44:06.758341+00:00;temperature;27.60
4857;pms5003;3630;6.540;3.297;2023-12-08T05:44:57.632852+00:00;P2;80.50
4857;pms5003;3630;6.540;3.297;2023-12-08T05:44:57.632852+00:00;P1;87.00
4857;pms5003;3630;6.540;3.297;2023-12-08T05:44:57.632852+00:00;P0;60.00
4858;DHT22;3630;6.540;3.297;2023-12-08T05:45:10.816149+00:00;humidity;96.60
4858;DHT22;3630;6.540;3.297;2023-12-08T05:45:10.816149+00:00;temperature;27.70
4857;pms5003;3630;6.540;3.297;2023-12-08T07:25:05.737720+00:00;P2;50.78
4857;pms5003;3630;6.540;3.297;2023-12-08T07:25:05.737720+00:00;P1;63.78
4857;pms5003;3630;6.540;3.297;2023-12-08T07:25:05.737720+00:00;P0;34.22
4858;DHT22;3630;6.540;3.297;2023-12-08T07:25:18.812229+00:00;humidity;83.10
4858;DHT22;3630;6.540;3.297;2023-12-08T07:25:18.812229+00:00;temperature;31.20
4857;pms5003;3630;6.540;3.297;2023-12-08T07:26:09.893187+00:00;P2;48.67
4857;pms5003;3630;6.540;3.297;2023-12-08T07:26:09.893187+00:00;P1;61.00
4857;pms5003;3630;6.540;3.297;2023-12-08T07:26:09.893187+00:00;P0;33.00
4858;DHT22;3630;6.540;3.297;2023-12-08T07:26:23.077792+00:00;humidity;81.50
4858;DHT22;3630;6.540;3.297;2023-12-08T07:26:23.077792+00:00;temperature;31.60
4857;pms5003;3630;6.540;3.297;2023-12-08T07:27:17.608342+00:00;P2;48.67
4857;pms5003;3630;6.540;3.297;2023-12-08T07:27:17.608342+00:00;P1;58.67
4857;pms5003;3630;6.540;3.297;2023-12-08T07:27:17.608342+00:00;P0;33.33
4858;DHT22;3630;6.540;3.297;2023-12-08T07:27:31.953467+00:00;humidity;80.80
4858;DHT22;3630;6.540;3.297;2023-12-08T07:27:31.953467+00:00;temperature;31.70
4857;pms5003;3630;6.540;3.297;2023-12-08T07:28:23.371220+00:00;P2;45.50
4857;pms5003;3630;6.540;3.297;2023-12-08T07:28:23.371220+00:00;P1;54.75
4857;pms5003;3630;6.540;3.297;2023-12-08T07:28:23.371220+00:00;P0;32.00
4858;DHT22;3630;6.540;3.297;2023-12-08T07:28:36.573451+00:00;humidity;79.80
4858;DHT22;3630;6.540;3.297;2023-12-08T07:28:36.573451+00:00;temperature;31.90
4857;pms5003;3630;6.540;3.297;2023-12-08T07:29:27.431762+00:00;P2;47.00
4857;pms5003;3630;6.540;3.297;2023-12-08T07:29:27.431762+00:00;P1;57.00
4857;pms5003;3630;6.540;3.297;2023-12-08T07:29:27.431762+00:00;P0;32.00
4858;DHT22;3630;6.540;3.297;2023-12-08T07:29:40.637384+00:00;humidity;79.70
4858;DHT22;3630;6.540;3.297;2023-12-08T07:29:40.637384+00:00;temperature;32.10
4857;pms5003;3630;6.540;3.297;2023-12-08T07:30:31.441462+00:00;P2;45.20
4857;pms5003;3630;6.540;3.297;2023-12-08T07:30:31.441462+00:00;P1;53.80
4857;pms5003;3630;6.540;3.297;2023-12-08T07:30:31.441462+00:00;P0;31.40
4858;DHT22;3630;6.540;3.297;2023-12-08T07:30:44.637067+00:00;humidity;78.90
4858;DHT22;3630;6.540;3.297;2023-12-08T07:30:44.637067+00:00;temperature;32.30
4857;pms5003;3630;6.540;3.297;2023-12-08T07:31:35.471763+00:00;P2;42.00
4857;pms5003;3630;6.540;3.297;2023-12-08T07:31:35.471763+00:00;P1;50.50
4857;pms5003;3630;6.540;3.297;2023-12-08T07:31:35.471763+00:00;P0;25.50
4858;DHT22;3630;6.540;3.297;2023-12-08T07:31:48.733528+00:00;humidity;78.00
4858;DHT22;3630;6.540;3.297;2023-12-08T07:31:48.733528+00:00;temperature;32.50
4857;pms5003;3630;6.540;3.297;2023-12-08T07:32:39.854928+00:00;P2;60.50
4857;pms5003;3630;6.540;3.297;2023-12-08T07:32:39.854928+00:00;P1;73.50
4857;pms5003;3630;6.540;3.297;2023-12-08T07:32:39.854928+00:00;P0;45.00
4858;DHT22;3630;6.540;3.297;2023-12-08T07:32:52.956649+00:00;humidity;78.30
4858;DHT22;3630;6.540;3.297;2023-12-08T07:32:52.956649+00:00;temperature;32.70
4857;pms5003;3630;6.540;3.297;2023-12-08T08:03:59.793765+00:00;P2;47.67
4857;pms5003;3630;6.540;3.297;2023-12-08T08:03:59.793765+00:00;P1;58.00
4857;pms5003;3630;6.540;3.297;2023-12-08T08:03:59.793765+00:00;P0;32.56
4858;DHT22;3630;6.540;3.297;2023-12-08T08:04:13.013754+00:00;humidity;77.00
4858;DHT22;3630;6.540;3.297;2023-12-08T08:04:13.013754+00:00;temperature;32.10
4855;pms5003;3629;6.428;3.435;2023-12-08T11:03:31.812906+00:00;P2;38.00
4855;pms5003;3629;6.428;3.435;2023-12-08T11:03:31.812906+00:00;P1;45.73
4855;pms5003;3629;6.428;3.435;2023-12-08T11:03:31.812906+00:00;P0;25.64
4856;DHT22;3629;6.428;3.435;2023-12-08T11:03:45.113222+00:00;humidity;72.80
4856;DHT22;3629;6.428;3.435;2023-12-08T11:03:45.113222+00:00;temperature;33.50
4855;pms5003;3629;6.428;3.435;2023-12-08T11:04:36.842906+00:00;P2;41.00
4855;pms5003;3629;6.428;3.435;2023-12-08T11:04:36.842906+00:00;P1;49.00
4855;pms5003;3629;6.428;3.435;2023-12-08T11:04:36.842906+00:00;P0;28.00
4856;DHT22;3629;6.428;3.435;2023-12-08T11:04:50.122949+00:00;humidity;72.60
4856;DHT22;3629;6.428;3.435;2023-12-08T11:04:50.122949+00:00;temperature;33.70
4855;pms5003;3629;6.428;3.435;2023-12-08T11:05:40.802885+00:00;P2;51.00
4855;pms5003;3629;6.428;3.435;2023-12-08T11:05:40.802885+00:00;P1;65.00
4855;pms5003;3629;6.428;3.435;2023-12-08T11:05:40.802885+00:00;P0;35.00
4856;DHT22;3629;6.428;3.435;2023-12-08T11:05:54.032952+00:00;humidity;71.10
4856;DHT22;3629;6.428;3.435;2023-12-08T11:05:54.032952+00:00;temperature;34.10
4855;pms5003;3629;6.428;3.435;2023-12-08T11:07:04.142936+00:00;P2;46.00
4855;pms5003;3629;6.428;3.435;2023-12-08T11:07:04.142936+00:00;P1;57.00
4855;pms5003;3629;6.428;3.435;2023-12-08T11:07:04.142936+00:00;P0;32.00
4855;pms5003;3629;6.428;3.435;2023-12-08T11:08:15.218866+00:00;P2;40.00
4855;pms5003;3629;6.428;3.435;2023-12-08T11:08:15.218866+00:00;P1;50.00
4855;pms5003;3629;6.428;3.435;2023-12-08T11:08:15.218866+00:00;P0;29.00
4855;pms5003;3629;6.428;3.435;2023-12-08T11:11:33.958783+00:00;P2;50.15
4855;pms5003;3629;6.428;3.435;2023-12-08T11:11:33.958783+00:00;P1;62.54
4855;pms5003;3629;6.428;3.435;2023-12-08T11:11:33.958783+00:00;P0;34.69
4856;DHT22;3629;6.428;3.435;2023-12-08T11:11:47.065303+00:00;humidity;70.10
4856;DHT22;3629;6.428;3.435;2023-12-08T11:11:47.065303+00:00;temperature;34.90
4855;pms5003;3629;6.428;3.435;2023-12-08T11:12:40.616624+00:00;P2;36.00
4855;pms5003;3629;6.428;3.435;2023-12-08T11:12:40.616624+00:00;P1;41.00
4855;pms5003;3629;6.428;3.435;2023-12-08T11:12:40.616624+00:00;P0;26.00
4856;DHT22;3629;6.428;3.435;2023-12-08T11:12:53.881861+00:00;humidity;66.60
4856;DHT22;3629;6.428;3.435;2023-12-08T11:12:53.881861+00:00;temperature;35.40
4855;pms5003;3629;6.428;3.435;2023-12-08T11:13:44.737699+00:00;P2;39.80
4855;pms5003;3629;6.428;3.435;2023-12-08T11:13:44.737699+00:00;P1;47.80
4855;pms5003;3629;6.428;3.435;2023-12-08T11:13:44.737699+00:00;P0;28.00
4856;DHT22;3629;6.428;3.435;2023-12-08T11:13:57.888574+00:00;humidity;66.40
4856;DHT22;3629;6.428;3.435;2023-12-08T11:13:57.888574+00:00;temperature;35.40
4855;pms5003;3629;6.428;3.435;2023-12-08T11:14:48.623773+00:00;P2;45.00
4855;pms5003;3629;6.428;3.435;2023-12-08T11:14:48.623773+00:00;P1;55.50
4855;pms5003;3629;6.428;3.435;2023-12-08T11:14:48.623773+00:00;P0;30.00
4856;DHT22;3629;6.428;3.435;2023-12-08T11:15:01.785954+00:00;humidity;66.90
4856;DHT22;3629;6.428;3.435;2023-12-08T11:15:01.785954+00:00;temperature;35.30
4855;pms5003;3629;6.428;3.435;2023-12-08T11:15:58.140673+00:00;P2;39.00
4855;pms5003;3629;6.428;3.435;2023-12-08T11:15:58.140673+00:00;P1;46.00
4855;pms5003;3629;6.428;3.435;2023-12-08T11:15:58.140673+00:00;P0;27.00
4856;DHT22;3629;6.428;3.435;2023-12-08T11:16:11.265690+00:00;humidity;67.30
4856;DHT22;3629;6.428;3.435;2023-12-08T11:16:11.265690+00:00;temperature;35.30
4855;pms5003;3629;6.428;3.435;2023-12-08T11:17:02.367972+00:00;P2;46.00
4855;pms5003;3629;6.428;3.435;2023-12-08T11:17:02.367972+00:00;P1;58.00
4855;pms5003;3629;6.428;3.435;2023-12-08T11:17:02.367972+00:00;P0;32.00
4856;DHT22;3629;6.428;3.435;2023-12-08T11:17:15.446834+00:00;humidity;66.90
4856;DHT22;3629;6.428;3.435;2023-12-08T11:17:15.446834+00:00;temperature;35.40
4855;pms5003;3629;6.428;3.435;2023-12-08T11:18:21.140116+00:00;P2;47.00
4855;pms5003;3629;6.428;3.435;2023-12-08T11:18:21.140116+00:00;P1;58.00
4855;pms5003;3629;6.428;3.435;2023-12-08T11:18:21.140116+00:00;P0;32.00
4856;DHT22;3629;6.428;3.435;2023-12-08T11:18:29.058043+00:00;humidity;66.20
4856;DHT22;3629;6.428;3.435;2023-12-08T11:18:29.058043+00:00;temperature;35.60
4855;pms5003;3629;6.428;3.435;2023-12-08T11:19:19.643736+00:00;P2;44.33
4855;pms5003;3629;6.428;3.435;2023-12-08T11:19:19.643736+00:00;P1;53.33
4855;pms5003;3629;6.428;3.435;2023-12-08T11:19:19.643736+00:00;P0;30.33
4856;DHT22;3629;6.428;3.435;2023-12-08T11:19:32.786319+00:00;humidity;65.30
4856;DHT22;3629;6.428;3.435;2023-12-08T11:19:32.786319+00:00;temperature;35.80
